,doy,lake,year,depth_type,value
105,190,Reference,Nutrients (2019),Anoxia,6.5
106,197,Reference,Nutrients (2019),Thermocline,1.5
107,197,Reference,Nutrients (2019),1% Light,5.382735845
108,197,Reference,Nutrients (2019),Anoxia,6.5
109,204,Reference,Nutrients (2019),Thermocline,2
110,204,Reference,Nutrients (2019),1% Light,5.38872142
111,204,Reference,Nutrients (2019),Anoxia,6.5
112,211,Reference,Nutrients (2019),Thermocline,2.5
113,211,Reference,Nutrients (2019),1% Light,5.59661146
114,211,Reference,Nutrients (2019),Anoxia,6.5
115,218,Reference,Nutrients (2019),Thermocline,2
116,218,Reference,Nutrients (2019),1% Light,5.401193009
117,218,Reference,Nutrients (2019),Anoxia,6
118,225,Reference,Nutrients (2019),Thermocline,2.5
119,225,Reference,Nutrients (2019),1% Light,6.566537942
120,225,Reference,Nutrients (2019),Anoxia,6
121,232,Reference,Nutrients (2019),Thermocline,3
122,232,Reference,Nutrients (2019),1% Light,6.057836664
123,232,Reference,Nutrients (2019),Anoxia,6
124,239,Reference,Nutrients (2019),Thermocline,3
125,239,Reference,Nutrients (2019),1% Light,5.831160422
126,239,Reference,Nutrients (2019),Anoxia,5.5
127,246,Reference,Nutrients (2019),Thermocline,3.5
128,246,Reference,Nutrients (2019),1% Light,6.663630353
129,246,Reference,Nutrients (2019),Anoxia,5.5
130,134,Manipulated,Nutrients (2019),Thermocline,3.5
131,134,Manipulated,Nutrients (2019),1% Light,4.459345635
132,134,Manipulated,Nutrients (2019),Anoxia,4.5
133,140,Manipulated,Nutrients (2019),Thermocline,2
134,140,Manipulated,Nutrients (2019),1% Light,4.397373839
135,140,Manipulated,Nutrients (2019),Anoxia,5
136,147,Manipulated,Nutrients (2019),Thermocline,1.5
137,147,Manipulated,Nutrients (2019),1% Light,4.83462602
138,147,Manipulated,Nutrients (2019),Anoxia,5.5
139,154,Manipulated,Nutrients (2019),Thermocline,1
140,154,Manipulated,Nutrients (2019),1% Light,4.807017442
141,154,Manipulated,Nutrients (2019),Anoxia,5
142,161,Manipulated,Nutrients (2019),Thermocline,1
143,161,Manipulated,Nutrients (2019),1% Light,4.639580646
144,161,Manipulated,Nutrients (2019),Anoxia,5
145,168,Manipulated,Nutrients (2019),Thermocline,1.5
146,168,Manipulated,Nutrients (2019),1% Light,4.7903
147,168,Manipulated,Nutrients (2019),Anoxia,5
148,175,Manipulated,Nutrients (2019),Thermocline,1.5
149,175,Manipulated,Nutrients (2019),1% Light,4.874932688
150,175,Manipulated,Nutrients (2019),Anoxia,5
151,182,Manipulated,Nutrients (2019),Thermocline,1
152,182,Manipulated,Nutrients (2019),1% Light,5.058328624
153,182,Manipulated,Nutrients (2019),Anoxia,5
154,189,Manipulated,Nutrients (2019),Thermocline,1.5
155,189,Manipulated,Nutrients (2019),1% Light,4.685642526
156,189,Manipulated,Nutrients (2019),Anoxia,5.5
157,196,Manipulated,Nutrients (2019),Thermocline,2
158,196,Manipulated,Nutrients (2019),1% Light,4.815591877
159,196,Manipulated,Nutrients (2019),Anoxia,5.5
160,203,Manipulated,Nutrients (2019),Thermocline,2
161,203,Manipulated,Nutrients (2019),1% Light,4.3421
162,203,Manipulated,Nutrients (2019),Anoxia,5.5
163,210,Manipulated,Nutrients (2019),Thermocline,1.5
164,210,Manipulated,Nutrients (2019),1% Light,3.85109642
165,210,Manipulated,Nutrients (2019),Anoxia,5
166,217,Manipulated,Nutrients (2019),Thermocline,2
167,217,Manipulated,Nutrients (2019),1% Light,3.754884546
168,217,Manipulated,Nutrients (2019),Anoxia,5.5
169,224,Manipulated,Nutrients (2019),Thermocline,1.5
170,224,Manipulated,Nutrients (2019),1% Light,4.183396149
171,224,Manipulated,Nutrients (2019),Anoxia,5
172,231,Manipulated,Nutrients (2019),Thermocline,2.5
173,231,Manipulated,Nutrients (2019),1% Light,4.821335763
174,231,Manipulated,Nutrients (2019),Anoxia,5.5
175,238,Manipulated,Nutrients (2019),Thermocline,2.5
176,238,Manipulated,Nutrients (2019),1% Light,5.301714129
177,238,Manipulated,Nutrients (2019),Anoxia,5.5
178,245,Manipulated,Nutrients (2019),Thermocline,3
179,245,Manipulated,Nutrients (2019),1% Light,5.333483607
180,245,Manipulated,Nutrients (2019),Anoxia,5.5
