,lake,year,date,depth,meanCH4,meanCO2,meanN2O,do_mgl,temp,doy,light,notes,manual_chl,surface_bga
365,Peter,2019,5/29/2019,3.5,0.49,22.87,NA,12.32,6.6,149,0.04,,2.408659969,526.8648779
366,Peter,2019,5/29/2019,6,0.41,154.92,NA,0.48,4.8,149,0.0033,,2.408659969,526.8648779
12,Paul,2018,6/20/2018,6.5,7.84,182.03,NA,0.1,5.7,171,0.0085,,2.40,278.36
81,Paul,2019,5/22/2019,0,1.15,45.84,NA,9.47,12.4,142,0.9,,,
304,Peter,2018,7/4/2018,11,112.94,339.78,NA,0.08,4.5,185,0,,,
367,Peter,2019,5/29/2019,9,41.9,265.57,NA,0.22,4.3,149,0,,,
368,Peter,2019,5/29/2019,11,71.75,246.32,NA,0.25,4.4,149,0,,,
369,Peter,2019,5/29/2019,13,244.64,376.89,NA,0.23,4.5,149,0,,,
13,Paul,2018,6/20/2018,8,62.77,311.09,NA,0.1,5.1,171,0.0028,,2.40,278.36
14,Paul,2018,6/20/2018,9,100.21,304.52,NA,0.07,4.9,171,0.0014,,,
15,Paul,2018,6/20/2018,10,117.52,345.2,NA,0.1,4.8,171,0,,,
16,Paul,2018,6/20/2018,11.5,227.17,473.31,NA,0.1,4.8,171,0,,,
17,Paul,2018,6/27/2018,0,2.16,40.91,NA,6.98,23.4,178,0.79,,1.75,241.27
18,Paul,2018,6/27/2018,2.5,2.17,56.89,NA,8.42,20.7,178,0.15,,1.75,241.27
19,Paul,2018,6/27/2018,4.5,1.09,90.72,NA,8.03,9.8,178,0.04,,1.75,241.27
20,Paul,2018,6/27/2018,6.5,0.93,282.84,NA,0.1,6,178,0.01,,1.75,241.27
21,Paul,2018,6/27/2018,8,109.33,446.33,NA,0.1,5,178,0.01,,1.75,241.27
22,Paul,2018,6/27/2018,9,158.35,383.93,NA,0.07,4.9,178,0.0017,,,
23,Paul,2018,6/27/2018,10,243.96,426.08,NA,0.1,4.9,178,0,,,
24,Paul,2018,6/27/2018,11.5,263.65,364.14,NA,0.1,4.9,178,0,,,
25,Paul,2018,7/4/2018,0,2.87,48.4,NA,6.25,24.2,185,0.82,,242.786615,2.482826461
26,Paul,2018,7/4/2018,2.5,2.61,55.1,NA,7.02,22.7,185,0.12,,242.786615,2.482826461
27,Paul,2018,7/4/2018,4.5,0.55,117.09,NA,8.63,10.7,185,0.03,,242.786615,2.482826461
28,Paul,2018,7/4/2018,6.5,0.88,293.42,NA,0.6,6.4,185,0.0065,,242.786615,2.482826461
